Province,Name,Code,Lat,Lon,Class,Met_source,Ins_source,Elev,Year_start,Year_end,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
Gangwon,Chuncheon,101,37.9,127.74,ASOS,KMA,KMA,77.8,1991,2020,2008,1994,2009,2009,1993,2006,2002,1994,2005,2007,2008,2003
Gangwon,Gangneung,105,37.75,128.89,ASOS,KMA,KMA,27.5,1991,2020,2002,1994,1997,1997,2013,1994,1995,1997,2004,1995,2019,2006
Seoul,Seoul,108,37.57,126.97,ASOS,KMA,KMA,85.5,1991,2020,2014,2011,2006,2007,2020,1994,2002,2017,2004,2012,2006,2008
Incheon,Incheon,112,37.48,126.62,ASOS,KMA,KMA,54.6,1991,2020,2008,2011,2009,2012,2007,2007,2019,2007,1991,2007,2006,2000
Gangwon,Wonju,114,37.34,127.95,ASOS,KMA,KMA,150.7,1991,2020,2016,2016,2009,2005,2010,2007,2019,2000,2004,2005,2008,2010
Chungnam,Seosan,129,36.78,126.49,ASOS,KMA,KMA,25.2,1991,2020,1993,2006,2009,2008,2006,2007,2012,1992,2003,2007,2008,1993
Chungbuk,Cheongju,131,36.64,127.44,ASOS,KMA,KMA,56.4,1991,2020,1994,2016,2019,2012,2003,2006,2012,2017,2005,2005,2016,2008
Daejeon,Daejeon,133,36.37,127.37,ASOS,KMA,KMA,62.6,1991,2020,2008,2006,2006,2012,2007,2007,2002,2017,2012,2000,2013,1999
Gyeongbuk,Pohang,138,36.03,129.38,ASOS,KMA,KMA,1.3,1991,2020,1996,1993,1997,2005,2008,1999,2019,2005,1991,2004,2009,1994
Daegu,Daegu,143,35.88,128.65,ASOS,KMA,KMA,57.3,1991,2020,2009,2016,2009,2008,2010,2004,2005,2015,2020,2004,2008,2008
Jeonbuk,Jeonju,146,35.82,127.16,ASOS,KMA,KMA,61,1991,2020,2014,2001,2000,2000,2018,2016,2002,2004,2016,2007,2008,2003
Gwangju,Gwangju,156,35.17,126.89,ASOS,KMA,KMA,74.5,1991,2020,2015,2016,2003,2012,2010,2007,2004,1996,2003,2010,2004,2008
Busan,Busan,159,35.1,129.03,ASOS,KMA,KMA,69.2,1991,2020,2016,1999,2009,2004,2013,2007,2015,2015,2017,2007,2014,2010
Jeonnam,Mokpo,165,34.82,126.38,ASOS,KMA,KMA,37.9,1991,2020,2009,2019,2009,2007,2007,2006,2011,1996,2018,2005,2006,2009
Jeju,Jeju,184,33.51,126.53,ASOS,KMA,KMA,19.9,1991,2020,2001,2001,2009,2007,2020,2010,2000,2019,2014,1999,1999,2013
Gyeongnam,Jinju,192,35.21,128.12,ASOS,KMA,KMA,27.1,1991,2020,1994,2011,2003,2006,2001,2004,2012,2012,2020,2013,2009,1990
